Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Global,0·511,0·514,0·516,0·522,0·527,0·531,0·536,0·542,0·547,0·55,0·555,0·561,0·565,0·569,0·573,0·579,0·584,0·589,0·593,0·598,0·603,0·608,0·612,0·616,0·622,0·627,0·631,0·636,0·642,0·647
"Central Europe, eastern Europe, and central Asia",0·645,0·651,0·658,0·662,0·666,0·671,0·676,0·678,0·682,0·686,0·69,0·693,0·696,0·7,0·706,0·712,0·716,0·721,0·725,0·729,0·733,0·737,0·74,0·743,0·746,0·749,0·752,0·755,0·759,0·762
Central Asia,0·543,0·543,0·545,0·549,0·554,0·557,0·56,0·562,0·567,0·572,0·576,0·579,0·583,0·588,0·595,0·601,0·605,0·611,0·617,0·621,0·627,0·634,0·638,0·642,0·647,0·652,0·657,0·662,0·667,0·671
Armenia,0·54,0·537,0·537,0·549,0·556,0·557,0·56,0·561,0·569,0·58,0·59,0·592,0·594,0·601,0·612,0·624,0·634,0·642,0·651,0·662,0·671,0·674,0·677,0·68,0·683,0·687,0·691,0·696,0·7,0·704
Azerbaijan,0·586,0·586,0·585,0·585,0·586,0·585,0·584,0·584,0·583,0·582,0·582,0·582,0·585,0·587,0·589,0·598,0·612,0·627,0·64,0·649,0·657,0·663,0·667,0·671,0·673,0·676,0·68,0·684,0·688,0·691
Georgia,0·643,0·648,0·654,0·655,0·65,0·642,0·633,0·631,0·632,0·628,0·626,0·627,0·628,0·634,0·645,0·648,0·645,0·648,0·649,0·65,0·655,0·663,0·668,0·671,0·676,0·682,0·689,0·696,0·701,0·705
Kazakhstan,0·589,0·592,0·596,0·603,0·609,0·616,0·622,0·626,0·63,0·634,0·638,0·644,0·648,0·652,0·657,0·662,0·666,0·67,0·675,0·679,0·684,0·688,0·691,0·695,0·699,0·704,0·709,0·713,0·718,0·722
Kyrgyzstan,0·513,0·513,0·522,0·529,0·532,0·532,0·537,0·536,0·535,0·536,0·535,0·536,0·538,0·541,0·548,0·548,0·546,0·55,0·552,0·552,0·556,0·562,0·562,0·566,0·567,0·568,0·573,0·579,0·585,0·589
Mongolia,0·486,0·493,0·501,0·507,0·512,0·518,0·523,0·528,0·534,0·539,0·545,0·551,0·557,0·563,0·569,0·574,0·579,0·584,0·588,0·592,0·596,0·599,0·604,0·609,0·614,0·619,0·624,0·629,0·634,0·639
Tajikistan,0·448,0·454,0·462,0·467,0·471,0·466,0·455,0·448,0·447,0·449,0·447,0·443,0·447,0·457,0·481,0·49,0·481,0·483,0·488,0·486,0·493,0·506,0·512,0·514,0·519,0·527,0·533,0·539,0·544,0·548
Turkmenistan,0·537,0·528,0·515,0·512,0·528,0·548,0·55,0·55,0·564,0·587,0·597,0·597,0·599,0·604,0·61,0·619,0·626,0·631,0·636,0·639,0·644,0·653,0·662,0·667,0·679,0·691,0·695,0·701,0·707,0·712
Uzbekistan,0·477,0·479,0·478,0·481,0·488,0·495,0·501,0·508,0·516,0·525,0·531,0·536,0·541,0·545,0·551,0·556,0·56,0·566,0·571,0·577,0·583,0·589,0·594,0·6,0·606,0·614,0·622,0·628,0·635,0·64
Central Europe,0·641,0·647,0·652,0·657,0·664,0·671,0·678,0·684,0·689,0·695,0·702,0·709,0·715,0·721,0·726,0·731,0·736,0·74,0·744,0·75,0·755,0·76,0·764,0·768,0·771,0·775,0·778,0·781,0·785,0·789
Albania,0·535,0·531,0·53,0·527,0·525,0·527,0·533,0·539,0·547,0·562,0·57,0·578,0·59,0·597,0·607,0·616,0·626,0·634,0·639,0·643,0·646,0·649,0·652,0·655,0·659,0·665,0·67,0·675,0·679,0·684
Bosnia and Herzegovina,0·529,0·531,0·53,0·527,0·525,0·524,0·534,0·553,0·573,0·591,0·605,0·617,0·628,0·638,0·645,0·652,0·658,0·664,0·671,0·677,0·684,0·689,0·693,0·698,0·702,0·707,0·71,0·714,0·718,0·723
Bulgaria,0·635,0·645,0·652,0·658,0·669,0·674,0·678,0·681,0·678,0·676,0·68,0·687,0·692,0·696,0·701,0·706,0·71,0·715,0·719,0·725,0·732,0·737,0·74,0·743,0·746,0·749,0·752,0·755,0·759,0·763
Croatia,0·681,0·686,0·689,0·689,0·688,0·688,0·689,0·694,0·701,0·706,0·713,0·72,0·725,0·73,0·735,0·739,0·744,0·749,0·754,0·758,0·763,0·767,0·771,0·774,0·777,0·78,0·783,0·785,0·789,0·792
